epochs steps out_loss offset_loss train_accuracy time
3 8 1.659 3.725 0.482 69.966
3 9 1.466 4.033 0.667 70.145
3 10 1.645 3.948 0.620 70.339
3 11 1.805 4.427 0.485 70.561
3 12 1.517 3.940 0.595 70.770
3 13 1.349 3.665 0.598 70.970
3 14 1.864 3.650 0.425 71.186
3 15 2.028 4.161 0.438 71.381
3 16 1.488 3.728 0.602 71.589
3 17 1.293 3.633 0.709 71.800
3 18 1.839 3.573 0.552 71.997
3 19 1.605 3.734 0.555 72.189
3 20 1.910 3.709 0.591 72.405
3 21 1.966 3.569 0.436 72.611
3 22 1.617 3.495 0.490 72.846
3 23 1.890 3.439 0.487 73.056
3 24 1.095 3.530 0.638 73.257
3 25 1.869 3.490 0.565 73.465
3 26 1.638 3.658 0.590 73.679
3 27 1.368 3.420 0.643 73.878
3 28 1.950 3.717 0.478 74.075
3 29 1.338 3.472 0.565 74.285
3 30 1.381 3.836 0.557 74.507
3 31 1.480 3.600 0.610 74.705
3 32 1.798 3.772 0.505 74.913
3 33 1.573 3.719 0.589 75.102
3 34 1.937 3.565 0.511 75.309
3 35 1.321 3.422 0.693 75.498
3 36 1.750 3.374 0.637 75.700
3 37 1.604 3.674 0.556 75.878
3 38 1.660 3.900 0.491 76.059
3 39 1.358 3.579 0.665 76.260
3 40 1.343 3.472 0.681 76.447
3 41 1.738 3.512 0.545 76.651
3 42 1.357 3.402 0.671 76.826
3 43 1.770 3.732 0.549 77.007
3 44 1.489 3.530 0.592 77.187
3 45 1.597 3.336 0.612 77.385
3 46 1.865 3.385 0.574 77.593
3 47 1.336 3.358 0.682 77.785
3 48 1.445 3.537 0.661 78.019
3 49 1.627 3.449 0.657 78.197
4 0 1.723 3.946 0.522 88.599
4 1 1.657 3.564 0.617 88.814
4 2 1.447 3.439 0.578 89.014
4 3 1.937 3.641 0.487 89.247
4 4 1.735 3.509 0.603 89.475
4 5 1.750 3.530 0.493 89.672
4 6 1.483 3.675 0.608 89.867
4 7 1.514 3.300 0.634 90.057
4 8 1.866 3.549 0.563 90.350
4 9 1.559 3.400 0.585 90.634
4 10 1.490 3.158 0.658 90.893
4 11 1.352 3.367 0.714 91.091
4 12 1.227 3.369 0.683 91.288
4 13 1.682 3.456 0.562 91.521
4 14 1.513 3.233 0.621 91.765
4 15 1.488 3.325 0.611 91.985
4 16 1.420 3.344 0.664 92.172
4 17 1.334 3.238 0.662 92.392
4 18 1.661 3.240 0.630 92.600
4 19 1.379 3.526 0.653 92.835
4 20 1.681 3.431 0.614 93.049
4 21 1.354 3.159 0.658 93.257
4 22 1.549 3.476 0.600 93.456
4 23 1.618 3.568 0.499 93.646
4 24 1.289 3.438 0.704 93.857
4 25 1.672 3.614 0.523 94.058
4 26 1.625 3.581 0.591 94.272
4 27 1.612 3.452 0.678 94.480
4 28 2.367 3.800 0.447 94.686
4 29 1.400 3.499 0.676 94.890
4 30 1.346 3.043 0.615 95.098
4 31 1.408 3.324 0.585 95.309
4 32 1.535 3.432 0.503 95.494
4 33 1.315 3.267 0.712 95.685
4 34 1.629 3.493 0.571 95.878
