epochs steps out_loss offset_loss train_accuracy time
3 8 1.854 3.958 0.467 72.774
3 9 1.245 3.710 0.664 73.210
3 10 1.321 3.635 0.660 73.634
3 11 1.315 4.140 0.621 73.860
3 12 1.415 3.616 0.667 74.096
3 13 1.324 3.754 0.640 74.320
3 14 1.555 3.590 0.605 74.563
3 15 1.124 3.595 0.625 74.819
3 16 1.539 3.447 0.606 75.043
3 17 1.525 3.906 0.516 75.272
3 18 1.818 3.750 0.481 75.548
3 19 1.410 3.563 0.596 75.835
3 20 1.565 3.741 0.511 76.098
3 21 1.173 3.895 0.686 76.317
3 22 1.802 4.037 0.538 76.533
3 23 1.456 3.717 0.593 76.747
3 24 1.614 3.869 0.542 76.968
3 25 1.395 3.472 0.626 77.222
3 26 1.623 3.912 0.547 77.456
3 27 1.478 3.444 0.611 77.739
3 28 1.879 3.507 0.660 78.042
3 29 1.201 3.679 0.689 78.272
3 30 1.570 3.829 0.572 78.573
3 31 1.313 3.841 0.660 78.870
3 32 1.597 3.892 0.591 79.125
3 33 1.407 3.686 0.668 79.395
3 34 1.250 3.497 0.607 79.671
3 35 1.245 3.611 0.628 79.874
3 36 1.949 3.693 0.548 80.086
3 37 1.513 3.496 0.632 80.306
3 38 1.548 3.481 0.679 80.529
3 39 1.732 3.660 0.587 80.750
3 40 1.532 4.003 0.634 80.969
3 41 1.337 3.806 0.684 81.169
3 42 1.833 3.734 0.516 81.408
3 43 1.477 3.618 0.642 81.634
3 44 1.333 3.784 0.607 81.844
3 45 1.665 3.537 0.602 82.059
3 46 1.239 3.524 0.670 82.261
3 47 1.338 3.253 0.625 82.473
3 48 1.569 3.531 0.609 82.679
3 49 2.084 3.797 0.577 82.919
4 0 1.871 3.392 0.559 94.135
4 1 1.448 3.323 0.575 94.346
4 2 2.141 4.004 0.496 94.560
4 3 2.746 3.745 0.342 94.822
4 4 1.902 3.554 0.532 95.093
4 5 1.496 3.576 0.519 95.310
4 6 1.143 3.585 0.726 95.604
4 7 1.680 3.604 0.533 95.869
4 8 1.476 3.462 0.551 96.087
4 9 1.312 3.740 0.633 96.300
4 10 1.447 3.465 0.629 96.522
4 11 1.432 3.655 0.650 96.748
4 12 1.407 3.495 0.642 96.960
4 13 1.706 3.895 0.564 97.196
4 14 1.472 3.396 0.626 97.426
4 15 1.551 3.349 0.660 97.663
4 16 1.490 3.419 0.646 97.912
4 17 1.464 3.482 0.620 98.208
4 18 1.453 3.141 0.686 98.442
4 19 1.714 3.414 0.531 98.717
4 20 1.310 3.399 0.743 98.916
4 21 1.774 3.426 0.661 99.154
4 22 1.470 3.559 0.710 99.394
4 23 1.888 3.363 0.557 99.637
4 24 1.289 3.536 0.685 99.864
4 25 1.665 3.356 0.653 100.098
4 26 1.045 3.547 0.793 100.332
4 27 1.132 3.254 0.797 100.528
4 28 1.168 3.178 0.743 100.756
4 29 1.520 3.305 0.664 100.980
4 30 1.341 3.642 0.657 101.255
4 31 2.001 3.434 0.484 101.537
4 32 1.449 3.529 0.649 101.763
4 33 1.721 3.505 0.579 101.985
4 34 1.734 3.350 0.562 102.214
4 35 1.404 3.370 0.679 102.423
4 36 0.983 3.318 0.759 102.631
4 37 1.307 3.291 0.686 102.871
4 38 1.992 3.634 0.502 103.100
4 39 1.562 3.459 0.621 103.341
4 40 1.824 3.404 0.529 103.590
4 41 1.307 3.465 0.679 103.842
4 42 1.674 3.828 0.598 104.077
4 43 1.025 3.314 0.762 104.362
4 44 1.173 3.291 0.750 104.670
4 45 2.066 3.182 0.496 104.919
4 46 1.639 3.355 0.616 105.171
4 47 1.687 3.274 0.611 105.390
4 48 1.537 3.360 0.554 105.628
4 49 1.415 3.248 0.652 105.891
5 0 1.524 3.144 0.599 117.536
5 1 1.379 3.378 0.703 117.805
5 2 1.706 3.254 0.601 118.538
5 3 1.412 3.302 0.654 118.750
5 4 1.489 3.229 0.656 119.107
5 5 1.856 3.708 0.549 119.394
5 6 1.252 3.250 0.661 119.703
5 7 1.709 3.243 0.613 119.967
5 8 1.564 3.246 0.611 120.331
5 9 2.276 3.330 0.477 120.716
5 10 1.171 3.152 0.737 121.032
5 11 1.439 3.235 0.592 121.279
5 12 1.370 3.248 0.674 121.523
5 13 1.271 2.985 0.692 121.822
5 14 1.234 3.173 0.710 122.050
5 15 1.447 3.180 0.660 122.337
5 16 1.669 3.311 0.549 122.612
5 17 1.697 3.217 0.569 122.894
5 18 1.470 3.326 0.609 123.172
5 19 1.423 3.028 0.668 123.449
5 20 1.155 3.263 0.753 123.702
5 21 1.606 3.370 0.565 123.970
5 22 1.343 3.405 0.623 124.244
5 23 1.806 3.265 0.525 124.505
5 24 1.465 3.339 0.592 124.770
5 25 1.526 3.178 0.632 124.991
5 26 1.436 3.211 0.621 125.217
5 27 1.171 2.934 0.690 125.439
