epochs steps out_loss offset_loss train_accuracy time
3 8 1.457 3.649 0.510 67.884
3 9 1.750 3.963 0.428 68.143
3 10 1.244 3.827 0.650 68.393
3 11 1.149 3.991 0.608 68.615
3 12 1.351 3.827 0.570 68.843
3 13 0.962 4.210 0.726 69.063
3 14 1.137 3.652 0.644 69.332
3 15 1.261 4.025 0.653 69.546
3 16 1.076 3.516 0.657 69.762
3 17 1.396 4.011 0.530 69.989
3 18 1.445 3.818 0.549 70.263
3 19 1.305 3.593 0.574 70.476
3 20 1.401 4.104 0.587 70.695
3 21 1.487 3.535 0.514 70.933
3 22 0.981 3.643 0.716 71.149
3 23 1.173 3.501 0.654 71.398
3 24 1.283 3.603 0.573 71.632
3 25 0.961 3.348 0.708 71.854
3 26 1.880 3.572 0.495 72.050
3 27 0.862 3.449 0.720 72.274
3 28 1.124 3.910 0.624 72.496
3 29 1.325 3.671 0.581 72.706
3 30 1.321 3.530 0.635 72.948
3 31 0.938 3.683 0.708 73.166
3 32 1.513 3.882 0.552 73.383
3 33 1.458 3.619 0.546 73.594
3 34 1.385 3.448 0.543 73.810
3 35 1.556 4.115 0.452 74.036
3 36 1.232 3.998 0.600 74.252
3 37 1.186 3.563 0.567 74.452
3 38 1.636 3.913 0.502 74.652
3 39 1.071 3.502 0.643 74.856
3 40 1.588 3.328 0.551 75.072
3 41 1.480 3.699 0.518 75.274
3 42 1.551 3.591 0.562 75.472
3 43 1.192 3.489 0.580 75.680
3 44 1.103 3.308 0.690 75.888
3 45 0.872 3.152 0.787 76.102
3 46 2.056 3.678 0.299 76.323
3 47 1.437 3.562 0.600 76.548
3 48 1.415 3.565 0.556 76.753
3 49 1.662 3.374 0.407 76.973
4 0 0.856 3.384 0.779 86.797
4 1 1.257 3.527 0.641 87.021
4 2 0.811 3.538 0.761 87.282
4 3 1.518 3.619 0.433 87.674
4 4 0.993 3.438 0.689 87.984
4 5 1.212 3.438 0.613 88.230
4 6 1.117 3.502 0.579 88.488
4 7 1.278 3.244 0.578 88.723
4 8 1.219 3.276 0.535 88.949
4 9 1.037 3.561 0.671 89.169
4 10 0.999 3.499 0.717 89.450
4 11 1.182 3.677 0.587 89.660
4 12 1.244 3.374 0.603 89.898
4 13 1.464 3.641 0.537 90.182
4 14 1.269 3.515 0.612 90.529
4 15 1.332 3.691 0.566 90.748
4 16 1.143 3.514 0.689 90.948
4 17 1.213 3.704 0.653 91.158
4 18 1.879 3.566 0.393 91.394
4 19 1.135 3.323 0.614 91.742
4 20 1.022 3.108 0.766 91.966
4 21 1.169 3.394 0.637 92.199
4 22 0.840 3.361 0.798 92.419
4 23 1.384 3.440 0.628 92.667
4 24 1.356 3.278 0.549 92.936
4 25 1.554 3.319 0.498 93.176
4 26 1.038 3.257 0.712 93.419
4 27 1.090 3.380 0.632 93.642
4 28 1.258 3.313 0.588 93.957
4 29 1.172 3.301 0.620 94.196
4 30 1.305 3.360 0.558 94.402
4 31 1.325 3.400 0.574 94.618
4 32 1.172 3.394 0.661 94.837
4 33 1.627 3.258 0.435 95.073
4 34 1.387 3.779 0.598 95.280
4 35 1.492 3.567 0.495 95.496
4 36 0.708 3.373 0.798 95.700
4 37 1.728 3.591 0.501 95.934
4 38 0.935 3.392 0.726 96.167
4 39 1.099 3.190 0.613 96.368
4 40 1.071 3.366 0.711 96.617
4 41 0.963 3.300 0.713 96.854
4 42 1.497 3.546 0.402 97.066
4 43 1.256 3.477 0.611 97.265
4 44 1.192 3.634 0.677 97.466
4 45 1.517 3.331 0.465 97.693
4 46 1.154 3.483 0.681 97.922
4 47 1.433 3.165 0.503 98.145
4 48 1.359 3.339 0.610 98.355
4 49 1.358 3.333 0.567 98.573
5 0 1.220 3.128 0.618 108.389
5 1 1.279 3.222 0.646 108.658
5 2 1.097 3.090 0.625 108.863
5 3 1.333 3.278 0.578 109.113
5 4 1.001 3.132 0.719 109.326
5 5 1.033 2.938 0.661 109.627
5 6 0.915 3.116 0.788 109.898
5 7 1.051 3.133 0.696 110.191
5 8 1.519 3.496 0.514 110.436
5 9 1.489 3.277 0.566 110.685
5 10 1.513 3.099 0.510 110.901
5 11 1.212 3.433 0.668 111.114
5 12 1.416 3.311 0.546 111.327
5 13 0.808 3.232 0.779 111.569
5 14 1.387 3.481 0.531 111.802
5 15 1.211 3.279 0.635 112.074
5 16 1.580 3.222 0.459 112.305
5 17 1.239 3.220 0.580 112.508
5 18 1.126 3.339 0.682 112.732
5 19 1.089 3.310 0.627 112.967
5 20 0.934 2.887 0.741 113.174
5 21 0.916 3.164 0.725 113.418
5 22 0.970 3.104 0.732 113.675
5 23 1.122 3.332 0.638 113.935
5 24 0.914 3.149 0.708 114.181
5 25 1.143 3.205 0.621 114.408
5 26 1.029 3.114 0.672 114.657
5 27 1.247 3.134 0.614 114.921
5 28 1.141 3.077 0.654 115.157
5 29 1.229 3.179 0.538 115.371
5 30 1.005 2.768 0.674 115.593
5 31 1.348 3.103 0.613 115.813
5 32 1.048 3.124 0.671 116.068
5 33 1.821 3.279 0.361 116.277
5 34 0.777 2.947 0.796 116.515
5 35 1.407 3.022 0.550 116.704
5 36 0.910 3.030 0.699 116.905
